target,iteration,num_features,r2,rmse,mae,r2_drop,r2_drop_iteration,removed_features,audio_count,text_count,sentiment_count,embeddings_count
energy,26,154,0.8477818898667957,0.09785170665986888,0.07311110144923491,-0.00044617808169389317,1.4233101599758768e-05,"['genre_Classical', 'embedding_76', 'embedding_13', 'embedding_45', 'embedding_257', 'embedding_219', 'embedding_48', 'embedding_28', 'embedding_144', 'embedding_237']",18,5,2,129
energy,27,144,0.8479738697178516,0.0977899811432704,0.07317710911148005,-0.0006381579327497944,-0.0001919798510559012,"['embedding_159', 'embedding_381', 'embedding_37', 'embedding_284', 'embedding_295', 'embedding_195', 'embedding_260', 'embedding_36', 'embedding_244', 'embedding_332']",18,5,2,119
energy,28,134,0.8482840423955553,0.097690171764376,0.0730625178703433,-0.0009483306104535183,-0.0003101726777037239,"['embedding_171', 'embedding_239', 'embedding_233', 'embedding_303', 'embedding_114', 'embedding_258', 'subjectivity', 'embedding_360', 'embedding_325', 'embedding_366']",18,5,1,110
energy,29,124,0.8477142924906358,0.09787343135620245,0.07317373898885285,-0.0003785807055339818,0.0005697499049195365,"['embedding_211', 'embedding_53', 'embedding_364', 'embedding_229', 'embedding_363', 'embedding_71', 'embedding_191', 'embedding_350', 'embedding_121', 'embedding_88']",18,5,1,100
energy,30,114,0.8479371092021478,0.09780180342950262,0.07311637505803044,-0.0006013974170460124,-0.00022281671151203053,"['embedding_283', 'embedding_357', 'embedding_73', 'embedding_10', 'embedding_140', 'embedding_291', 'embedding_118', 'embedding_42', 'embedding_124', 'embedding_336']",18,5,1,90
energy,31,104,0.848259486568832,0.09769807721450068,0.07303368269912279,-0.0009237747837301802,-0.00032237736668416783,"['embedding_315', 'embedding_287', 'embedding_8', 'embedding_308', 'embedding_198', 'embedding_278', 'embedding_247', 'embedding_163', 'embedding_93', 'genre_Jazz']",17,5,1,81
energy,32,94,0.8480957895443593,0.09775076114589158,0.07304985855886004,-0.0007600777592574604,0.00016369702447271983,"['embedding_170', 'embedding_174', 'embedding_74', 'embedding_108', 'embedding_110', 'embedding_255', 'embedding_337', 'embedding_3', 'embedding_372', 'embedding_176']",17,5,1,71
energy,33,84,0.8483980972143663,0.09765344481141426,0.07303288257725464,-0.0010623854292645118,-0.0003023076700070515,"['embedding_288', 'embedding_0', 'embedding_328', 'embedding_251', 'embedding_115', 'embedding_272', 'embedding_342', 'embedding_215', 'embedding_65', 'embedding_270']",17,5,1,61
energy,34,74,0.8482535812265226,0.09769997827230895,0.07303724622134325,-0.0009178694414208044,0.00014451598784370745,"['embedding_66', 'embedding_179', 'embedding_105', 'embedding_173', 'embedding_23', 'embedding_84', 'embedding_127', 'embedding_85', 'embedding_263', 'embedding_292']",17,5,1,51
energy,35,64,0.848418246761352,0.09764695499161642,0.07297797224158012,-0.0010825349762502157,-0.00016466553482941126,"['embedding_349', 'embedding_162', 'embedding_194', 'embedding_343', 'embedding_1', 'embedding_106', 'embedding_120', 'embedding_326', 'embedding_116', 'embedding_206']",17,5,1,41
energy,36,54,0.8483736720381211,0.0976613111590394,0.07303443907135637,-0.0010379602530192766,4.457472323093903e-05,"['embedding_213', 'embedding_317', 'embedding_361', 'embedding_268', 'embedding_112', 'embedding_172', 'embedding_39', 'embedding_253', 'embedding_382', 'embedding_319']",17,5,1,31
energy,37,44,0.8486712791205726,0.09756542090669704,0.0729234700282312,-0.0013355673354707998,-0.0002976070824515231,"['polarity', 'embedding_21', 'embedding_245', 'embedding_358', 'embedding_230', 'embedding_352', 'embedding_77', 'embedding_160', 'embedding_95', 'embedding_102']",17,5,0,22
energy,38,34,0.8487042275059882,0.09755479900336833,0.0728886363965645,-0.0013685157208863652,-3.294838541556544e-05,"['embedding_321', 'embedding_96', 'embedding_276', 'embedding_203', 'embedding_216', 'embedding_147', 'embedding_314', 'embedding_32', 'genre_Country', 'embedding_90']",16,5,0,13
energy,39,24,0.8480731526917945,0.0977580443118111,0.0730701506594861,-0.000737440906692699,0.0006310748141936662,"['embedding_6', 'embedding_243', 'embedding_80', 'embedding_235', 'embedding_221', 'embedding_31', 'embedding_2', 'embedding_16', 'embedding_72', 'embedding_380']",16,5,0,3
energy,40,20,0.8478335862775138,0.09783508901961178,0.07313870610176232,-0.0004978744924120093,0.0002395664142806897,"['genre_Pop', 'genre_Folk', 'embedding_4', 'avg_word_length']",14,4,0,2
danceability,0,414,0.5920106096535559,0.11045520987422494,0.08730729785613528,0.0,0.0,[],23,5,2,384
danceability,1,404,0.5915375268875245,0.11051923030998978,0.08731686779255583,0.0004730827660314185,0.0004730827660314185,"['embedding_250', 'embedding_87', 'embedding_342', 'embedding_103', 'embedding_156', 'embedding_82', 'embedding_240', 'embedding_124', 'embedding_11', 'embedding_234']",23,5,2,374
