- changelog:
    - Reorganized, optimized normalisation and transformation steps
    - popularity target scaled again
- columns
    - acousticness
    - instrumentalness
    - liveness
    - speechiness
    - loudness
    - tempo
    - duration_ms
    - key
    - mode
    - year
    - genre
- only english language
- approx 550,000 songs

# Results
target,model,rmse,mae,r2
valence,Mean,0.2488397706329323,0.21095220744609833,-0.0004373788833618164
valence,LinearRegression,0.22148404073223107,0.18328001686901937,0.20743445095883362
valence,Ridge,0.22148413522431876,0.18328253969124828,0.20743377469169422
valence,XGBoost,0.1972172460624111,0.16114850342273712,0.37159430980682373
energy,Mean,0.24484574535606038,0.20592762529850006,0.0
energy,LinearRegression,0.11428945955779166,0.08942837305702506,0.7821150521561671
energy,Ridge,0.11428940349024957,0.08942862420429133,0.7821152659338948
energy,XGBoost,0.09975570794466077,0.07552510499954224,0.8340067863464355
danceability,Mean,0.17113219486796455,0.1392965316772461,-0.0002903938293457031
danceability,LinearRegression,0.1371740244496998,0.10980936662338622,0.3573028329959488
danceability,Ridge,0.13717395133803242,0.10980959475041413,0.3573035180913837
danceability,XGBoost,0.11499088230476959,0.09147810190916061,0.5483630895614624
popularity,Mean,1.490248453816196,1.334253191947937,-0.0006680488586425781
popularity,LinearRegression,1.463096085987754,1.2992086308283757,0.035464192207649736
popularity,Ridge,1.463096241209734,1.299209586400163,0.035463987549640974
popularity,XGBoost,1.4374548034197074,1.2660386562347412,0.06897568702697754
