- changelog:
    - lyrics semantic embedded
- columns
    - acousticness
    - instrumentalness
    - liveness
    - speechiness
    - loudness
    - tempo
    - duration_ms
    - key
    - mode
    - year
    - genre / one-hot encoded
    - lyrics semantic embedded
        - all-MiniLM-L6-v2 (English-optimized, 384 dimensions)
- only english language
- approx 550,000 songs

# Results
target,model,features,rmse,mae,r2
valence,Mean,0.2488397706329323,0.21095220744609833,-0.0004373788833618164
valence,Linear,0.20968908177539208,0.17179048997086885,0.2896016398910123
valence,Ridge,0.20972998314495536,0.17183128203101503,0.28932447620241974
valence,XGBoost,0.19321495018421214,0.1569461077451706,0.39684104919433594
energy,Mean,0.24484574535606038,0.20592762529850006,0.0
energy,Linear,0.11263629021359783,0.08810299965588338,0.7883727702287062
energy,Ridge,0.11262292467609873,0.08808685365393788,0.7884229910563441
energy,XGBoost,0.09846603343319223,0.0741063579916954,0.8382710218429565
danceability,Mean,0.17113219486796455,0.1392965316772461,-0.0002903938293457031
danceability,Linear,0.13157457401777087,0.1054274071595803,0.4087017818634209
danceability,Ridge,0.13156792445703464,0.10542594994976782,0.4087615468155614
danceability,XGBoost,0.113393111739554,0.08998610824346542,0.5608266592025757
popularity,Mean,1.490248453816196,1.334253191947937,-0.0006680488586425781
popularity,Linear,1.4534191015017812,1.2845100089310577,0.04818096597732113
popularity,Ridge,1.4534030072536739,1.2845648025065732,0.048202045550109984
popularity,XGBoost,1.4391600104647242,1.2672064304351807,0.0667654275894165
