target,model,rmse,mae,r2,explained_variance,max_error,mape,pred_mean,pred_std,pred_min,pred_max,residual_mean,residual_std,train_time_seconds
valence,Mean,0.24883977022232356,0.21095220059829886,-0.0004373511469184521,0.0,0.5346309542655945,203129816411.6903,0.46336907148361206,0.0,0.46336907148361206,0.46336907148361206,0.005202834096338884,0.24878537288527386,0.00015401840209960938
valence,LinearRegression,0.20875898792926015,0.17091922039068397,0.2958897285165074,0.29608448861682557,1.1160036217704445,159538049791.18845,0.46509994458451737,0.13373379522638243,-0.9020036202207238,0.9834021604096463,0.0034719609954335304,0.20873011409016948,19.405184745788574
valence,Ridge,0.2087564364238706,0.17092091849704819,0.2959069400405856,0.2961023020926632,1.1171490001845623,159240758891.90158,0.4650945832691225,0.13367075060070918,-0.9031489986348415,0.983731683068251,0.0034773223108284196,0.20872747298317043,2.477811813354492
valence,Ridge_tuned,0.20875837506953185,0.17091963341237978,0.2958938626637414,0.2960887232389482,1.1163986298810755,159524821232.58804,0.465099049124118,0.13372062591139852,-0.9023986283313546,0.9834964556261376,0.003472856455833064,0.20872948624884918,3.1975622177124023
valence,Lasso,0.24883977102034116,0.21095219952786834,-0.0004373575636309468,0.0,0.5346309924328285,203129799680.09616,0.46336903331637813,5.551115123125783e-17,0.4633690333163781,0.4633690333163781,0.005202872263572877,0.24878537288527386,3.7985246181488037
valence,Lasso_tuned,0.24883977102034116,0.21095219952786834,-0.0004373575636309468,0.0,0.5346309924328285,203129799680.09616,0.46336903331637813,5.551115123125783e-17,0.4633690333163781,0.4633690333163781,0.005202872263572877,0.24878537288527386,2.9562764167785645
valence,SGDRegressor,0.20994681741152835,0.1720649832493891,0.28785421941799516,0.2879561586647409,1.0203847276548477,126110309286.34404,0.46606004486965297,0.13097127341809187,-0.7901422647539998,0.9861445867770207,0.002511860710297984,0.20993179058208808,3.0696816444396973
valence,SGDRegressor_tuned,0.2106775921221058,0.17316128074419426,0.28288797264463417,0.28314947766449017,1.164816881241427,136701741422.80598,0.46454876824691727,0.12434639439012285,-0.9508168796917061,1.0092491893099222,0.004023137333033731,0.21063917534107449,169.6471345424652
valence,DecisionTree,0.27396256800236485,0.2099550461621125,-0.21264246142416154,-0.21260689765986873,0.9363999776542187,184457599911.69437,0.4670882649967858,0.24883757771458984,0.0,0.9919999837875366,0.001483640583165165,0.27395855065514996,397.5769639015198
valence,DecisionTree_tuned,0.24883977102034116,0.21095219952786834,-0.0004373575636309468,0.0,0.5346309924328285,203129799680.09616,0.46336903331637813,5.551115123125783e-17,0.4633690333163781,0.4633690333163781,0.005202872263572877,0.24878537288527386,1.6241779327392578
valence,RandomForest,0.19017248179514418,0.15315585627375225,0.4156868466627458,0.4157866956514146,0.7532740129157901,173078516903.67432,0.46608593103132645,0.1397728602270193,0.05485699926503003,0.9556300157308578,0.002485974548624448,0.19015623251071218,5239.432255029678
valence,RandomForest_tuned,0.20971063333484669,0.17466627911954874,0.2894556048266672,0.289578287180685,0.6572632966457748,173978004712.62424,0.4658163073754092,0.09261628601084157,0.1389540740839644,0.8129204649329734,0.002755598204541727,0.20969252826993534,176.22360968589783
valence,ExtraTrees,0.1896410509611923,0.15130666444106045,0.41894797205347556,0.41902001016913104,0.7145229979604483,174607298008.73782,0.4664603329945578,0.13822530607268219,0.02630000002682209,0.9789999723434448,0.002111572585393175,0.18962929486469687,989.3157131671906
valence,ExtraTrees_tuned,0.1975482635973307,0.1623935647898213,0.3694830766010718,0.36958756178748,0.7091389723430146,169831623487.1284,0.4660288713628689,0.12190295103165269,0.0941338919776243,0.8339256460302771,0.0025430342170820125,0.19753189470890822,415.2123589515686
valence,AdaBoost,0.22428816291553982,0.18938704113149646,0.18723868952717404,0.1914169878540909,0.6096454502052981,209308051573.71323,0.4846533319014777,0.06277630357399737,0.275065073110811,0.6260465883669044,-0.01608142632152671,0.22371090217397327,842.6436376571655
valence,AdaBoost_tuned,0.226059538294683,0.19035606568516228,0.17434999684159647,0.17490510840199613,0.599095604485296,209044725327.97668,0.4744334893859835,0.06466298215439371,0.2722325613102468,0.5779192058063435,-0.005861583806032501,0.22598353189843304,7295.432190895081
valence,XGBoost,0.19137827999735163,0.154057115316391,0.40825366973876953,0.4082726836204529,0.7822451591491699,148400537600.0,0.46748706698417664,0.16411517560482025,-0.04843413829803467,1.0920435190200806,0.0010848203673958778,0.19137521088123322,72.2899079322815
valence,XGBoost_tuned,0.18181344496519775,0.14536084234714508,0.4659249186515808,0.4659954309463501,0.7513163089752197,138330292224.0,0.4664829671382904,0.1620112508535385,-0.026270177215337753,1.043137788772583,0.002088932553306222,0.1818014532327652,767.211531162262
valence,CatBoost,0.18593479805087118,0.14990095882179377,0.44143763899181077,0.4414826341380267,0.7755808257413548,144058338521.19858,0.4669030925711406,0.16018613721198913,-0.0863239588266782,1.12187674636121,0.0016688130088103829,0.185927308885381,161.12824749946594
valence,CatBoost_tuned,0.18554720970646926,0.1494795636031981,0.44376390195852167,0.4438061880941876,0.7581404137880827,160110698901.64355,0.46695410926360603,0.1606452497484061,0.0025868638024834634,1.0022538177099367,0.0016177963163449527,0.18554015674493568,669.980232000351
valence,LightGBM,0.19187859411484467,0.1556285943544889,0.4051556102938807,0.40518657772251243,0.7611147888677977,156170588573.11868,0.46718745513407767,0.15021829048634894,0.0026803209832581033,0.9799869418179505,0.001384450445873239,0.19187359947750035,22.17556071281433
valence,LightGBM_tuned,0.18575554969651153,0.14970927619018676,0.4425140714253194,0.4425617271550697,0.7732170838511907,141859001269.0442,0.4668544622923767,0.16030185222499058,-0.021452357528155743,1.0384796012088486,0.0017174432875742605,0.18574761002932752,84.94108414649963
valence,KNeighbors,0.22295367302875024,0.17932260036468506,0.19688159227371216,0.197975754737854,0.8504600524902344,94087520256.0,0.46034228801727295,0.1605764776468277,0.034299999475479126,0.96260005235672,0.008229617029428482,0.22280174493789673,167.03905129432678
valence,KNeighbors_tuned,0.20728816112341844,0.1669653114077715,0.30577649783211847,0.30714098116593924,0.828511574402569,125829771735.85701,0.4593820441998977,0.1335011497991559,0.02631091892072138,0.9789999723434448,0.00918986138005321,0.2070843504221014,3849.769629240036
valence,LinearSVR,0.21085009809028107,0.17036835076454027,0.28171312771187984,0.28410087838080245,1.2517263266730012,131392297758.074,0.4564151039385314,0.15644077257391809,-1.0377263251232804,1.0710640163843252,0.01215680164141951,0.21049934925916597,280.1551773548126
valence,LinearSVR_tuned,0.20882939326872385,0.17151100615326711,0.2954147168046184,0.29542628096268064,1.0554969855904677,160652054795.2156,0.46772588319859837,0.12876360870767825,-0.8414969840407469,0.9673290258905222,0.000846022381352563,0.2088276795329431,67.16305828094482
valence,MLPRegressor,0.19135383265546832,0.153537386821201,0.4084047957069852,0.409172519393474,0.8576132171885013,128243854513.30933,0.4754652076943077,0.1710240191824739,-0.13752438810605816,1.1261120028030323,-0.0068933021143567025,0.19122963070062435,58.00642204284668
valence,MLPRegressor_tuned,0.19125816508177504,0.15250187342800503,0.4089961852734262,0.4103764943947974,0.8799895041051699,101998869798.68869,0.4593289041172627,0.1743476373543006,-0.1518423783917291,1.0677876496368957,0.009243001462688296,0.1910346896100503,113.28006410598755
energy,Mean,0.24484574934510195,0.20592763299831668,-1.9408736839920948e-08,0.0,0.6702626599380892,2.8242303451771056,0.6702829599380493,0.0,0.6702829599380493,0.6702829599380493,3.411074471770868e-05,0.24484574696902864,0.0004885196685791016
energy,LinearRegression,0.11259170187704426,0.08807913266827432,0.7885402870819853,0.7885439114651523,0.9293137956803725,2.2055155310946506,0.6698509379328835,0.2162452783419443,-0.7821895784204904,1.2288790329254184,0.00046613274988353153,0.11259073697169186,10.06212830543518
energy,Ridge,0.11257751125629616,0.08806738690837826,0.7885935868445506,0.788597157300444,0.9310286311952793,2.2025089061087337,0.6698544187286187,0.21623405109417834,-0.7790610544120369,1.2295594470778912,0.00046265195414830855,0.11257656058803185,1.3990046977996826
energy,Ridge_tuned,0.11257811451591092,0.08806839527560935,0.7885913211470478,0.78859489321696,0.9310923802301375,2.2024453597479443,0.6698543141699108,0.21623951267802097,-0.7789945774613553,1.2294829924786632,0.00046275651285618996,0.1125771634229934,1.2717688083648682
