target,model,rmse,mae,r2
valence,Mean,0.24883977022232356,0.21095220059829886,-0.0004373511469184521
valence,LinearRegression,0.20875898792926015,0.17091922039068397,0.2958897285165074
valence,Ridge,0.2087564364238706,0.17092091849704819,0.2959069400405856
valence,Ridge_tuned,0.20875837506953185,0.17091963341237978,0.2958938626637414
valence,Lasso,0.24883977102034116,0.21095219952786834,-0.0004373575636309468
valence,Lasso_tuned,0.24883977102034116,0.21095219952786834,-0.0004373575636309468
valence,SGDRegressor,0.20994681741152835,0.1720649832493891,0.28785421941799516
valence,SGDRegressor_tuned,0.2106775921221058,0.17316128074419426,0.28288797264463417
valence,DecisionTree,0.27396256800236485,0.2099550461621125,-0.21264246142416154
valence,DecisionTree_tuned,0.24883977102034116,0.21095219952786834,-0.0004373575636309468
valence,RandomForest,0.19017248179514418,0.15315585627375225,0.4156868466627458
valence,RandomForest_tuned,0.20971063333484669,0.17466627911954874,0.2894556048266672
valence,ExtraTrees,0.1896410509611923,0.15130666444106045,0.41894797205347556
valence,ExtraTrees_tuned,0.1975482635973307,0.1623935647898213,0.3694830766010718
valence,AdaBoost,0.22428816291553982,0.18938704113149646,0.18723868952717404
valence,AdaBoost_tuned,0.226059538294683,0.19035606568516228,0.17434999684159647
valence,XGBoost,0.19137827999735163,0.154057115316391,0.40825366973876953
valence,XGBoost_tuned,0.18181344496519775,0.14536084234714508,0.4659249186515808
valence,CatBoost,0.18593479805087118,0.14990095882179377,0.44143763899181077
valence,CatBoost_tuned,0.18554720970646926,0.1494795636031981,0.44376390195852167
valence,LightGBM,0.19187859411484467,0.1556285943544889,0.4051556102938807
valence,LightGBM_tuned,0.18575554969651153,0.14970927619018676,0.4425140714253194
valence,KNeighbors,0.22295367302875024,0.17932260036468506,0.19688159227371216
valence,KNeighbors_tuned,0.20728816112341844,0.1669653114077715,0.30577649783211847
valence,LinearSVR,0.21085009809028107,0.17036835076454027,0.28171312771187984
