- changelog:
    - genre and year columns added
- columns
    - acousticness
    - instrumentalness
    - liveness
    - speechiness
    - loudness
    - tempo
    - duration_ms
    - key
    - mode
    - year
    - genre
- only english language
- approx 550,000 songs

# Results
target,model,rmse,mae,r2
valence,Mean,0.24883977098751683,0.21095219951632996,-0.0004373575663936258
valence,LinearRegression,0.22597045650111874,0.18747453403187775,0.17500058532882734
valence,Ridge,0.2259704243373057,0.1874746245972883,0.17500082018364405
valence,XGBoost,0.2011661370407309,0.16454785516958664,0.34617719101670574
energy,Mean,0.24484574945189475,0.2059276396457485,-1.947289463011259e-08
energy,LinearRegression,0.1146872496325594,0.08971430815998982,0.7805956943118004
energy,Ridge,0.11468709719486263,0.08971448219422468,0.7805962775582364
energy,XGBoost,0.10018827062043797,0.07587792649033305,0.8325640807685261
danceability,Mean,0.1711322041120216,0.13929654053541504,-0.0002904286482299234
danceability,LinearRegression,0.14111932057224766,0.11336111549738116,0.31980164214424556
danceability,Ridge,0.1411192580475587,0.11336111905365792,0.319802244884978
danceability,XGBoost,0.11742392067072922,0.09365234433754556,0.5290489393613356
popularity,Mean,16.95713756325786,14.231703310742574,-0.00041628674005766975
popularity,LinearRegression,16.612737606181714,13.84783257835515,0.03980801201926143
popularity,Ridge,16.61273267437461,13.847833992616422,0.03980858212168259
popularity,XGBoost,16.152082543988328,13.320901870727539,0.09232008457183838
