- changelog:
    - added year column
- columns
    - acousticness
    - instrumentalness
    - liveness
    - speechiness
    - loudness
    - tempo
    - duration_ms
    - key
    - mode
    - year
- only english language
- approx 550,000 songs

# Results
target,model,rmse,mae,r2
valence,Mean,0.24883977098751683,0.21095219951632996,-0.0004373575663936258
valence,LinearRegression,0.23434925064129739,0.19634577114576826,0.1126857569821147
valence,Ridge,0.23434925516247404,0.19634578784471796,0.11268572274514188
valence,XGBoost,0.2078519078818639,0.1705999945102156,0.3019953030787158
energy,Mean,0.24484574945189475,0.2059276396457485,-1.947289463011259e-08
energy,LinearRegression,0.11882887638169151,0.09401881064455628,0.7644631560235877
energy,Ridge,0.11882888294334658,0.09401884498066854,0.7644631300111973
energy,XGBoost,0.10282028869345854,0.07811445577525734,0.8236512002084379
danceability,Mean,0.1711322041120216,0.13929654053541504,-0.0002904286482299234
danceability,LinearRegression,0.1600993996156046,0.12993493166952436,0.12452846108407911
danceability,Ridge,0.1600993999991113,0.1299349348084842,0.12452845688981984
danceability,XGBoost,0.12806242068603102,0.10211695867101563,0.4398478091013246
popularity,Mean,16.95713756325786,14.231703310742574,-0.00041628674005766975
popularity,LinearRegression,16.76787249077245,14.013571498593997,0.021791139582873487
popularity,Ridge,16.767872489983997,14.01357177183853,0.021791139674867344
popularity,XGBoost,16.24995962284647,13.430451393127441,0.08128625154495239
